OBJECTID,CODIGO,nombre,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,altitud,latitud,longitud,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,CORRIENTE,FECHA_SUSPENSION,SUBZONA_HIDROGRAFICA,ENTIDAD
166,24035430,TUNGUAVITA - AUT [24035430],Agrometeorológica,Automática con Telemetría,Activa,2004-12-15,2470,5.74591667,-73.11636111,Boyacá,Paipa,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Miel,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
167,24035410,SOGAMOSO - AUT [24035410],Meteorológica Especial,Automática con Telemetría,Activa,2007-12-06,2495,5.75333333,-72.91115278,Boyacá,Sogamoso,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,La Miel,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
168,26185030,JERICO - AUT [26185030],Climática Principal,Automática con Telemetría,Suspendida,2004-11-28,2313,5.79916667,-75.78952778,Antioquia,Jericó (Antioquia),Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Cauca,La Miel,2016-01-06,Río Frío y Otros Directos al Cauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
169,36015020,EL DIAMANTE - AUT [36015020],Climática Principal,Automática con Telemetría,Activa,2005-11-19,160,5.81619444,-71.41983333,Casanare,Paz De Ariporo,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,La Miel,,Directos al Río Meta entre ríos Pauto y Carare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
170,24025090,MOGOTES - AUT [24025090],Agrometeorológica,Automática con Telemetría,Activa,2004-10-25,1673,6.47,-72.96888889,Santander,Mogotes,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Sogamoso,La Miel,,Río Fonce,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
171,26207080,BOLOMBOLO [26207080],Limnigráfica,Automática con Telemetría,Activa,1971-10-15,1750,5.97,-75.84,Antioquia,Venecia (Antioquia),Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Cauca,Cauca,,Directos Río Cauca  entre Río San Juan y  Pto Valdivia,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
172,23097030,PUERTO BERRIO - AUT [23097030],Limnigráfica,Automática con Telemetría,Activa,1936-01-15,111,6.48513889,-74.40116667,Antioquia,Puerto Berrío,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Magdalena,,Rió San Bartolo y otros directos al Magdalena Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
173,24035370,EL ESPINO - AUT [24035370],Climática Principal,Automática con Telemetría,Activa,2005-11-19,3510,6.50672222,-72.45266667,Boyacá,El Espino,Area Operativa 06 - Boyacá-Casanare-Vichada,Magdalena Cauca,Sogamoso,Magdalena,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
174,23127020,PUERTO ARAUJO - AUT [23127020],Limnigráfica,Automática con Telemetría,Activa,1965-10-15,92,6.52555556,-74.08583333,Santander,Cimitarra,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Carare,,Río Carare (Minero),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
175,27015300,VILLANUEVA VILLAHERMOSA [27015300],Climática Principal,Automática con Telemetría,Suspendida,2005-09-08,1591,6.25327778,-75.55,Antioquia,Medellín,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,Carare,2016-01-06,Río Porce,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
176,56019010,BAHIA SOLANO - AUT [56019010],Mareográfica,Automática con Telemetría,Suspendida,2005-11-24,21,6.26863889,-77.43316667,Chocó,Bahía Solano (Mutis),Area Operativa 01 - Antioquia-Chocó,Pacifico,Pacífico - Directos,Oceano Pacifico,2008-11-20,Directos Pacifico Frontera Panamá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
177,23087210,CANTERAS - AUT [23087210],Limnigráfica,Automática con Telemetría,Activa,1973-07-15,1274,6.27608333,-74.67330556,Antioquia,Puerto Nare,Area Operativa 10 - Tolima,Magdalena Cauca,Medio Magdalena,Nare,,Río Nare,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
178,27015290,PAJARITO - AUT [27015290],Climática Principal,Automática con Telemetría,Suspendida,2005-11-17,1952,6.28633333,-75.61279167,Antioquia,Medellín,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,Nare,2016-01-06,Río Porce,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
179,35025110,LA LIBERTAD - AUT [35025110],Agrometeorológica,Automática con Telemetría,Activa,2007-03-24 19:00,336,4.05736111,-73.46791667,Meta,Villavicencio,Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Meta,0,,Río Negro,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
180,23195190,SAN ANTONIO SANTANDER [23195190],Climática Principal,Automática con Telemetría,Suspendida,1991-01-15,1480,7.09952778,-73.06619444,Santander,Floridablanca,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Magdalena,1991-01-15,Río Lebrija y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
181,23117030,EL TAGUAL - AUT [23117030],Limnigráfica,Automática con Telemetría,Suspendida,2005-08-19,105,6.73305556,-74.15975,Santander,Cimitarra,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Tachira,2018-07-13 12:15,Directos al Magdalena Medio entre ríos Negro,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
182,16027300,PUENTE CAPIRA - AUT [16027300],Limnigráfica,Automática con Telemetría,Activa,2004-11-15,1320,7.53719444,-72.77113889,Norte de Santander,Cucutilla,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,Zulia,,Río Zulia,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
183,23105070,MACEO - AUT [23105070],Climática Principal,Automática con Telemetría,Activa,2005-06-17 19:00,980,6.57163889,-74.79472222,Antioquia,Yolombó,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Medio Magdalena,0,,Rió San Bartolo y otros directos al Magdalena Medio,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
184,23195230,NEOMUNDO,Climática Principal,Automática con Telemetría,Suspendida,2005-08-17,970,7.09999722,-73.11,Santander,Bucaramanga,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,0,2020-02-28 13:05,Río Lebrija y otros directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
185,27015280,PARAMO BELMIRA - AUT [27015280],Climática Principal,Automática con Telemetría,Activa,2004-11-22 19:00,3221,6.63202778,-75.64444444,Antioquia,Entrerrios,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,0,,Río Porce,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
186,24035390,PARAMO ALMORZADERO  - AUT [24035390],Climática Principal,Automática con Telemetría,Activa,2004-10-24 19:00,3600,6.94538889,-72.69633333,Santander,Cerrito,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Sogamoso,0,,Río Chicamocha,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
187,24055070,SAN  VICENTE DE CHUCURI  - AUT [24055070],Agrometeorológica,Automática con Telemetría,Activa,2004-10-24 19:00,173,6.82338889,-73.47205556,Santander,San Vicente De Chucurí,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,0,,Río Opón,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
188,24055080,VIZCAINA LA LIZAMA  - AUT [24055080],Agrometeorológica,Automática con Telemetría,Activa,2004-10-24 19:00,114,6.98297222,-73.70488889,Santander,Barrancabermeja,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Sogamoso,0,,Río Sogamoso,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
189,37057020,ALCARAVAN  AUT [37057020],Limnigráfica,Automática con Telemetría,Activa,1997-11-14 19:00,162,7.035,-71.41638889,Arauca,Arauquita,Area Operativa 08 - Santanderes-Arauca,Orinoco,Arauca,Arauca,,Rio Banadia y otros Directos al Río Arauca,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
190,3206500045,GRANADA SENA - AUT   [3206500045],Climática Principal,Automática con Telemetría,Activa,2017-12-27 19:00,316,3.51633333,-73.73973333,Meta,Granada (Meta),Area Operativa 03 - Meta-Guaviare-Guainía,Orinoco,Guaviare,0,,Río Ariari,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
191,37015030,BERLIN - AUT [37015030],Climática Principal,Automática con Telemetría,Activa,2008-08-21,3316,7.187,-72.8685,Santander,Tona,Area Operativa 08 - Santanderes-Arauca,Orinoco,Arauca,Zulia,,Río Chítaga,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
192,25017010,MONTELIBANO - AUT [25017010],Limnigráfica,Automática con Telemetría,Activa,1973-04-15,40,7.98797222,-75.41733333,Córdoba,Montelíbano,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,San Jorge,,Alto San Jorge,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
193,23195240,AGUACHICA - AUT [23195240],Agrometeorológica,Automática con Telemetría,Activa,2005-08-19,103,8.12341667,-73.57986111,Cesar,Aguachica,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Cauca,,Quebrada El Carmen y Otros Directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
194,13037040,CARRIZOLA - AUT [13037040],Limnimétrica,Convencional,Activa,1990-06-15,55,8.16083333,-76.09555556,Córdoba,Tierralta,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Sinú,Sinu,,Medio Sinú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
195,27037010,LA ESPERANZA NECHI [27037010],Limnigráfica,Automática con Telemetría,Activa,1975-03-09,33,8.03,-74.79,Antioquia,Nechí,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,Nechi,,Directos al Bajo Nechí (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
196,27037030,SAN JUAN NECHI - AUT [27037030],Limnigráfica,Automática con Telemetría,Activa,1976-05-14 19:00,180,7.475,-74.92083333,Antioquia,Zaragoza,Area Operativa 01 - Antioquia-Chocó,Magdalena Cauca,Nechí,Nechi,,Directos al Bajo Nechí (mi),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
197,23207040,SAN PABLO RIO MAGDALENA  - AUT [23207040],Limnigráfica,Automática con Telemetría,Activa,1977-07-14 19:00,62,7.48033333,-73.91855556,Bolívar,San Pablo (Bolívar),Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Magdalena,,Directos al Magdalena (Brazo Morales),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
198,16015120,UNIVERSIDAD DE PAMPLONA  - AUT [16015120],Agrometeorológica,Automática con Telemetría,Activa,2004-10-12 19:00,2362,7.36094444,-72.66605556,Norte de Santander,Pamplona,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,0,,Río Pamplonita,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
199,16057030,LA CABANA - AUT [16057030],Limnigráfica,Automática con Telemetría,Activa,1971-10-14 19:00,1220,8.19780556,-73.31825,Norte de Santander,Ocaña,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,Algodonal,,Río Algodonal (Alto Catatumbo),INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
200,16017020,LA DONJUANA - AUT [16017020],Limnigráfica,Automática con Telemetría,Activa,1972-08-15,730,7.68797222,-72.60547222,Norte de Santander,Chinácota,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,Pamplonita,,Río Pamplonita,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
201,16017030,LA UCHEMA - AUT [16017030],Limnigráfica,Automática con Telemetría,Suspendida,1981-10-15,520,7.69422222,-72.474,Norte de Santander,Villa Del Rosario,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,Tachira,2018-07-13 12:08,Río Pamplonita,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
202,29045150,SAIZA - AUT [29045150],Climática Principal,Automática con Telemetría,Suspendida,2002-11-15,287,7.74602778,-76.4325,Córdoba,Tierralta,Area Operativa 01 - Antioquia-Chocó,Caribe,Sinú,Tachira,2010-08-10,Alto Sinú - Urrá,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
203,16057090,TERMOTASAJERO [16057090],Limnigráfica,Convencional,Suspendida,2004-10-15,255,7.83333333,-72.63333333,Norte de Santander,Durania,Area Operativa 08 - Santanderes-Arauca,Caribe,Catatumbo,Zulia,2008-05-23,Río Zulia,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
204,25017020,SAN PEDRO - AUT [25017020],Limnigráfica,Automática con Telemetría,Activa,1989-05-15,50,7.85388889,-75.70972222,Córdoba,Puerto Libertador,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,San Pedro,,Alto San Jorge,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
205,35071001,TEATINO  - AUT  [35071001],Limnigráfica,Automática con Telemetría,Activa,,2288,5.42155556,-73.54019444,Boyacá,Samacá,Area Operativa 06 - Boyacá-Casanare-Vichada,Orinoco,Meta,Teatinos,,Río Garagoa,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
206,25027020,EL BANCO - AUT [25027020],Limnigráfica,Automática con Telemetría,Activa,1934-01-15,29,8.99252778,-73.96944444,Magdalena,El Banco,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Cesar,Magdalena,,Bajo Cesar,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
207,29065130,LA GRAN VIA - AUT [29065130],Agrometeorológica,Automática con Telemetría,Activa,2008-10-01,30,10.85,-74.13333333,Magdalena,Zona Bananera,Area Operativa 05 - Magdalena-Cesar-Guajira,Magdalena Cauca,Bajo Magdalena,Magdalena,,Cga Grande de Santa Marta,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
208,15067020,CERCADO EL-AUTOMAT [15067020],Limnigráfica,Convencional,Activa,2004-09-04,335,10.9075,-73.00833333,La Guajira,Fonseca,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,Rancheria,,Río Ranchería,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
209,25025360,AEROPUERTO LAS FLORES  - AUT [25025360],Climática Principal,Automática con Telemetría,Activa,2013-05-04 19:00,34,9.04633333,-73.97083333,Magdalena,El Banco,Area Operativa 05 - Magdalena-Cesar-Guajira,Magdalena Cauca,Bajo Magdalena,0,,Directos Bajo Magdalena entre El Banco y El Plato,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
210,25020470,CHINU - AUT [25020470],Pluviométrica,Automática con Telemetría,Activa,2014-12-11,125,9.11777778,-75.39333333,Córdoba,Chinú,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Suarez,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
211,28035070,GUATAPURI - AUT [28035070],Climática Principal,Convencional,Suspendida,2006-02-25 19:00,1315,10.73213889,-73.39241667,Cesar,Valledupar,Area Operativa 05 - Magdalena-Cesar-Guajira,Magdalena Cauca,Cesar,0,2018-11-06 5:25,Alto Cesar,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
212,25025380,SAN BENITO - AUT [25025380],Meteorológica Especial,Automática con Telemetría,Activa,2014-11-14,20,9.16388889,-75.04472222,Sucre,San Benito Abad,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Suarez,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
213,15067050,CUESTECITAS - AUT [15067050],Limnigráfica,Automática con Telemetría,Activa,1958-03-15,76,11.18033333,-72.55344444,La Guajira,Albania (La guajira),Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,Rancheria,,Río Ranchería,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
214,13085050,LORICA  ITA - AUT [13085050],Climática Principal,Automática con Telemetría,Suspendida,2005-05-13,30,9.25272222,-75.84441667,Córdoba,Lorica,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Sinú,Barroblanco,2010-10-02,Bajo Sinú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
215,15065190,MONGUI - AUT [15065190],Climática Principal,Automática con Telemetría,Activa,2011-11-22,60,11.22677778,-72.82063889,La Guajira,Riohacha,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,Barroblanco,,Río Ranchería,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
216,25025002,LOS ALAMOS - AUT [25025002],Climática Principal,Automática con Telemetría,Activa,2013-05-05,25,9.30405556,-74.27363889,Magdalena,San Sebastián De Buenavista,Area Operativa 05 - Magdalena-Cesar-Guajira,Magdalena Cauca,Bajo Magdalena,Manzanares,,Directos Bajo Magdalena entre El Banco y El Plato,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
217,25025350,PUERTA ROJA - AUT [25025350],Climática Principal,Automática con Telemetría,Activa,2004-08-23,160,9.31638889,-75.3875,Sucre,Sincelejo,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Manzanares,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
218,13095010,COVENAS - AUT [13095010],Meteorológica Especial,Automática con Telemetría,Suspendida,1980-02-15,1,9.38333333,-75.66666667,Sucre,Tolú,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Caribe - Litoral,Manzanares,1992-04-15,Directos Caribe Golfo de Morrosquillo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
219,15075150,PAICI - AUT [15075150],Agrometeorológica,Automática con Telemetría,Activa,2004-10-14,45,11.59494444,-72.32575,La Guajira,Uribia,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,Manzanares,,Directos Caribe - Ay.Sharimahana Alta Guajira,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
220,15085050,TOROMANA - AUT [15085050],Climática Principal,Automática con Telemetría,Activa,2005-04-18,144,12.08352778,-71.21094444,La Guajira,Uribia,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,Manzanares,,Río Carraipia - Paraguachon  Directos al Golfo Maracaibo,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
221,25025280,EL TESORO IDEAM  - AUT [25025280],Agrometeorológica,Automática con Telemetría,Activa,2004-12-01 19:00,168,9.35708333,-75.28925,Sucre,Morroa,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,0,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
222,15015120,UNIVERSIDAD TECNOLOGICA  - AUT [15015120],Climática Principal,Automática con Telemetría,Activa,2007-09-12 19:00,7,11.22305556,-74.18591667,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira,Caribe,Caribe - Guajira,0,,Río  Piedras - Río Manzanares,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
223,25027450,PLATO MAGDALENA [25027450],Limnimétrica,Convencional,Activa,1964-08-15,16,9.78777778,-74.80583333,Magdalena,Plato,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,Magdalena,,Directos Bajo Magdalena entre El Banco y El Plato,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
224,17019010,SAN ANDRES - AUT [17019010],Mareográfica,Automática con Telemetría,Activa,1996-12-15,1,12.55611111,-81.70338889,Archipiélago de San Andres  Providencia y Santa Catalina,San Andrés (Archipiélago de San Andrés  Providencia y Santa Catalina),Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Caribe,Islas Caribe,Mar Caribe,,San Andres,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
225,25025000,EL DIFICIL - AUT [25025000],Climática Principal,Automática con Telemetría,Activa,2013-05-05,120,9.91197222,-74.08580556,Magdalena,Ariguaní (El Dificil),Area Operativa 05 - Magdalena-Cesar-Guajira,Magdalena Cauca,Cesar,Vaupes,,Río Ariguaní,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
226,23217080,GAMARRA - AUT [23217080],Limnigráfica,Automática con Telemetría,Activa,2011-12-12,40,8.28428611,-73.75338889,Cesar,Gamarra,Area Operativa 08 - Santanderes-Arauca,Magdalena Cauca,Medio Magdalena,Magdalena,,Quebrada El Carmen y Otros Directos al Magdalena,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
227,25025030,AYAPEL - AUT [25025030],Meteorológica Especial,Automática con Telemetría,Activa,2014-12-11,20,8.29506389,-75.16455556,Córdoba,Ayapel,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Magdalena,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
228,25027760,BEIRUT - AUT [25027760],Limnigráfica,Automática con Telemetría,Activa,2014-11-13,26,8.30222222,-75.13388889,Córdoba,Ayapel,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Cga. De Ayapel,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
229,29015000,EL GUAMO - AUT [29015000],Climática Ordinaria,Automática con Telemetría,Activa,2004-03-23,75,10.06444444,-74.85222222,Bolívar,El Guamo,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,Cga. De Ayapel,,Directos al Bajo Magdalena entre El Plato y Calamar,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
230,29037080,GAMBOTE CANAL DEL [29037080],Limnigráfica,Automática con Telemetría,Activa,2012-04-27,4,10.16222222,-75.29861111,Bolívar,Arjona,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,Canal Del Dique,,Canal del Dique margen derecho,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
231,28025120,SERRANIA DEL PERIJA  - AUT [28025120],Climática Principal,Automática con Telemetría,Activa,2006-12-19 19:00,2256,10.02908333,-73.04619444,Cesar,Agustín Codazzi,Area Operativa 05 - Magdalena-Cesar-Guajira,Magdalena Cauca,Cesar,0,,Medio Cesar,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
232,29035200,REPELON - AUT [29035200],Climática Principal,Automática con Telemetría,Activa,2007-09-12,10,10.49,-75.12694444,Atlantico,Repelón,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,Cauca,,Canal del Dique margen derecho,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
233,29035000,SINCERIN  - AUT [29035000],Climática Principal,Automática con Telemetría,Activa,2013-05-04 19:00,10,10.14258333,-75.27827778,Bolívar,Arjona,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,0,,Canal del Dique margen izquierda,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
234,17035010,SERRANILLA - AUT [17035010],Climática Ordinaria,Automática con Telemetría,Suspendida,1998-12-15,3,15.7975,-79.85222222,Archipiélago de San Andres  Providencia y Santa Catalina,San Andrés (Archipiélago de San Andrés  Providencia y Santa Catalina),Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Caribe,Islas Caribe,Mar Caribe,2019-06-12,Roncador y Quitasueño,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
235,25020600,SAJONIA HACIENDA - AUT [25020600],Pluviométrica,Automática con Telemetría,Activa,2014-03-10,100,8.48972222,-75.60138889,Córdoba,Pueblo Nuevo,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Yaguara,,Bajo San Jorge - La Mojana,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
236,13057010,NUEVA COLOMBIA [13057010],Limnigráfica,Convencional,Activa,1990-06-15,20,8.49944444,-75.97861111,Córdoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,Caribe,Sinú,Sinu,,Medio Sinú,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
237,29047070,SAN PEDRITO - AUT [29047070],Limnigráfica,Automática con Telemetría,Activa,1978-05-15,8,10.26822222,-74.90786111,Atlantico,Suan,Area Operativa 02 - Atlántico-Bolivar-Sucre,Magdalena Cauca,Bajo Magdalena,Magdalena,,Canal del Dique margen derecho,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
